,Order,Family,Species,Common name,Habitat,Feeding strategy,Trophic level,IUCN,Fisheries interest,G/GI,"Method 1,2,3",N,N of fish ingested,FO (%) ,PL (N/fish),Plastic type,Polymers,"Plastic size (mm)         < 1, 1-5, > 5",Life stage,Length (cm),Location,Region,Reference,Purpose of the study,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,n/a,1,1,,yes,1,rope,,> 5,,77,Indian Ocean - Indonesia,IND,"Fujieda et al., 2008",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Paralepididae,Arctozenus risso,Spotted barracudina,"O, P",P,3.2,NE,N,GI,3,14,3,21.43,1.3,fibres,,1-5,,19,Atlantic North - Around UK,ATL N,"Lusher et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Sudis hyalina,n/a,"O, P",PP,4.2,NE,N,GI ,2,5,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Synodontidae,Harpadon nehereus,Bombay-duck,"O, BP",BP,4.2,NE,Y,GI,3,18,18,100.00,5.6,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Saurida tumbil,Greater lizardfish,"N, BP",BP,4.4,LC,Y,GI,3,4,,yes,,fibre,,,,15.7,Indian Ocean - Persian Gulf,IND,"Abbasi et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Saurida undosquamis,Brushtooth lizardfish,"N, D",BP,4.5,NE,Y,GI,3,99,55,55.56,2.2,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Batrachoidiformes,Batrachoididae,Batrachoides surinamensis,Pacuma toadfish,"N, B",BP,3.7,LC,Y,GI,2,1,0,0.00,,,,,,,Atlantic North - Brazil,ATL N,"Pegado et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Beloniformes,Belonidae,Strongylura marina,Atlantic needlefish,"N, P",PP,3,LC,Y,GI,2,4,,no,,,,,,14,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Strongylura timucu,Timucu,"N, P",PP,4.5,LC,Y,GI,2,2,,no,,,,,,32,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Exocetidae,Cheilopogon pitcairnensis,n/a,"N, P",P,3.9,NE,Y,GI,3,21,2,9.52,1,film,,,A,27TL,Pacific South - Tahiti,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Cheilopogon rapanouiensis,Easter Island flyingfish,"O, P",P,4,LC,N,"G, GI",2,43,7,16.28,1.6,Fragments,,,,30,Pacific South - Easter Island,PAC S,"Chagnon et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Hemiramphidae,Hyporhamphus ihi,n/a,"N, P",P,3.2,NE,Y,GI,3,24,0,0.00,,,,,A,25TL,Pacific South - Auckland,PAC S,"Markic et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Hyporhamphus intermedius,Asian pencil halfbeak,"N, P",P,3.4,NE,Y,GI,3,18,18,100.00,5.5,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Hyporhamphus melanochir,Southern sea garfish,"N, P",O,2.7,NE,Y,"G, GI",2,66,0,0.00,,,,,,31.4,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Hyporhamphus roberti roberti,Slender halfbeak,"N, P",n/a,3,LC,Y,GI,2,35,,yes,,,,,,13-15,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Hyporhamphus unifasciatus,Common halfbeak,"N, P",O,2,LC,Y,GI,2,209,,yes,,,,,,13,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Scomberesocidae,Cololabis saira,Pacific saury,"O, P",P,3.7,NE,Y,G,2,54,,yes,3.2,fragments,,1-5,,,Pacific North -  Subtropical Gyre,PAC N,"Boerger et al., 2010",,The number of individuals for each species is given as % of all fish caught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Beryciformes,Holocentridae,Myripristis amaena,Brick soldierfish,"N, D",BP,3.6,LC,Y,GI,1,10,0,0.00,,,,,,,Pacific South - Various Islands,PAC S,Forrest & Hindell 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Neoniphon sammara,Sammara squirrelfish,"N, D",BP,3.6,LC,N,GI ,3,5,1,20.00,1,fibres,"PP, PE",1-5,,15.6,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,"Provided wrong info in the Tables, instead of the number of ind. With plastic they wrote no. of pieces of plastic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Sargocentron spiniferum,Sabre squirrelfish,"N, D",BP,3.6,LC,N,GI,3,5,0,0.00,,,,,,30.7,Indian Ocean - Red Sea,IND,"Baalkhuyur et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Clupeiformes,Clupeidae,Alosa fallax,Twaite shad,"N, P",PP,4,LC,Y,G,2,1,1,100.00,1,fragments,"PP, PE, PEs",1-5,A,40,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Brevoortia patronus,Gulf menhaden,"N, P",P,2.2,LC,Y,n/a, ,n/a,,yes,,,,,,,Atlantic North - Gulf of Mexico,ATL N,"Hoss & Settle, 1990, Govoni (pers.comm)",Diet study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Clupea harengus,Atlantic herring,"N-O, P",P,3.4,LC,Y,G,3,3,2,66.67,2.5,,,1-5,,24.5,Atlantic North - North Sea,ATL N,"Collard et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,n/a,,2,2,100.00,1,plastic pellets,PS,,,4.2,Atlantic North - New England ,ATL N,"Carpenter et al., 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,GI,3,164,3,1.83,,,,,,9-22,Atlantic North -Baltic,ATL N,"Budimir et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,GI,3,566,11,1.94,,fragments,"PE, PP, PET",< 1,,27,Atlantic North - North Sea,ATL N,"Foekema et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,GI,3,131,0,0.00,,,,,,,Atlantic North - North Sea,ATL N,"Hermsen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,GI,2,33,0,0.00,,fragments,"PE, PA, PP",,,22,Atlantic North - N Europe,ATL N,"Rummel et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Clupea pallasii,Pacific herring,"N, P",P,3.2,NE,Y,GI,2,205,4,1.95,12.8,fibres,PES,,,,Pacific North - British Columbia,PAC N,"Hipfner et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Hyperlophus vittatus,Sandy sprat,"N, P",P,3.4,NE,Y,"G, GI",2,10,0,0.00,,,,,,9.2,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Lile piquitinga,Atlantic piquitinga,"N, P",n/a,3.1,LC,Y,GI,2,2,,no,,,,,,8,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Opisthonema libertate,Pacific thread herring,"N, P",P,2.9,LC,Y,GI,2,80,2,2.50,1,fibres,"PE, PP",1-5,,22,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Opisthonema oglinum,Atlantic thread herring,"N, P",P,4.5 ??,LC,Y,GI,2,56,,yes,,,,,,12-14,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Rhinosardinia bahiensis,Bahia sprat,"N, P",n/a,3.1,NE,Y,GI,2,179,,yes,,,,,,4-8,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Sardina pilchardus ,European pilchard,"N, P",P,3.1,NE,Y,GI ,3,99,19,19.19,1.78,fragments,PE,< 1,,11.8,Mediterranean - Adriatic,MED,"Avio et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,GI,3,7,4,57.14,3.8,fibres,,< 1,,,Mediterranean - East ,MED,Guven et al 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,G,3,3,2,66.67,1,,PP,1-5,,23.7,Atlantic North - English Channel,ATL N,"Collard et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,GI,2,105,16,15.24,,fibres,PET,,,17,Mediterranean West - Spanish coast,MED,"Compa et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,G,2,12,0,0.00,,,,,A,18,Atlantic North - Portugal,ATL N,"Neves et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,GI ,2,139,27,19.42,2.1,fibres,,,,13,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,GI,3,66,28,42.42,2.1,fibres,,,,12,Mediterranean - Adriatic & Ionian Sea,MED,"Anastasopoulou et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,GI,3,36,17,47.22,1.8,fragments,"PE, PP",< 1,A,11,Mediterranean - East,MED,"Digka et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,Sardinops sagax,South American pilchard,"N, P",P,2.8,LC,Y,GI,2,7,0,0.00,,,,,,18.1,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Spratelloides gracilis,Silver-stripe r. herring,"N, P",P,3.1,LC,Y,GI,3,10,4,40.00,1.25,fragments,,1-5,,,Indian Ocean - Indonesia,IND,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Sprattus sprattus,European sprat,"N, P",P,3,NE,Y,GI,3,141,1,0.71,2,sferical particles,PMMA,,,,Atlantic North - North Sea,ATL N,"Hermsen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,GI,3,154,n/a,0.90,,,,,,7-12.5,Atlantic North -Baltic,ATL N,"Budimir et al., 2018",,There is probably mistake with FO for this species (0.9% is between 1 and 2 individuals!!?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Strangomera benticki,Araucanian herring,"N, P",P,2.7,NE,Y,GI,2,10,0,0.00,,,,,,13.7,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Engraulidae,Anchoa januaria,Rio anchovy,"N,P",P,2.9,NE,N,GI,2,194,,yes,,,,,,5-6,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Anchoa marinii,Marini's anchovy,"N, P",P,3.4,NE,n/a,GI,2,22,,yes,,,,,,4-6,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Anchoa tricolor,Piquitinga anchovy,"N,P",P,3.4,NE,Y,GI,2,6,,no,,,,,,3,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Anchovia clupeoides,Zabaleta anchovy,"N, P",P,3.4,LC,Y,GI,2,10,,yes,,,,,,8-10,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Cetengraulis edentulus,Atlantic anchoveta,"N, P",P,2.1,LC,Y,GI,2,5,,no,,,,,,6,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Cetengraulis mysticetus,Pacific anchoveta,"N, P",P,2.5,LC,Y,GI,2,40,1,2.50,1,fragment,"PE, PP",1-5,,16,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Coilia nasus,Jap. grenadier anchovy,"N, P",P,3,NE,Y,GI,3,18,18,100.00,4.7,"fibres, fragments",,,,,Pacific North - W - China Sea,PAC N,"Jabeen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Encrasicholina heteroloba,Shorthead anchovy,"N, P",P,3.3,NE,Y,GI,3,10,4,40.00,2.75,fragments,,,A,9.29,Indian Ocean - Indonesia,IND,"Tahir & Rochman, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Engraulis australis,Australian anchovy,"N, P",P,3,NE,Y,"G, GI",2,10,0,0.00,,,,,,10.3,Pacific South - Australia,PAC S,"Cannon et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,Engraulis encrasicolus,European anchovy,"N, P",P,3.1,NE,Y,G,3,3,2,66.67,2,,,1-5,,12,Mediterranean - West,MED,"Collard et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,GI,2,105,15,14.29,,fibres,PET,,,13,Mediterranean West - Spanish coast,MED,"Compa et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,Engraulis japonicus,Japanese anchovy,"N, P",P,3.1,NE,Y,GI,3,64,49,76.56,2.3,fragments,"PE, PP",< 1,,11.3,Pacific North - Japan,PAC N,"Tanaka & Takada, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Engraulis mordax,Californian anchovy,"N, P",P,3.1,LC,Y,GI,3,10,3,30.00,1,"fibr, fragm, monofil.",,> 5,,,Pacific North  - East,PAC N,"Rochman et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Engraulis ringens,Anchoveta,"N, P",P,2.9,LC,Y,GI,2,116,1,0.86,1,fragment,"PE, PP",1-5,,14,Pacific South - S American coast,PAC S,"Ory et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,Lycengraulis grossidens,Atl. sabretooth anchovy,"N, P",PP,3.7,LC,Y,GI,2,146,,yes,,,,,,5-7,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Cyprinodontiformes,Poeciliidae,Poecilia vivipara,n/a,"N, BP",P,2.3,NE,N,GI,2,75,,yes,,,,,,3-4,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Elopiformes,Elopidae,Elops saurus,Ladyfish,"N, D",BP,3.5,LC,Y,GI,2,1,,no,,,,,,2,Atlantic South - Brasil,ATL S,"Vendel et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Gadiformes,Gadidae,Boreogadus saida,Polar cod,"N-O, BP",P,3.1,NE,Y,GI,3,85,15,17.65,1.1,fibres,"PES, acr, PA",1-5,,9.7,Atlantic North - Greenland,ATL N,"Morgana et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,G ,2,72,2,2.78,1,fragments,"Epoxy, PMMA",< 1,,7.8,Atlantic North - Arctic,ATL N,"Kuhn et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Gadus morhua,Atlantic cod,"N, BP",BP,4.1,VU,Y,GI,3,80,10,12.50,,fragments,"PE, PP, PET",< 1,,61,Atlantic North - North Sea,ATL N,"Foekema et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,G,2,302,9,2.98,1.8,,PCT,> 5,,,Atlantic North - Norway,ATL N,"Bråte et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,"G, GI",1,205,5,2.44,1.4,"fragm, film, fibre",,> 5,,,Atlantic North - Canada,ATL N,"Liboiron et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,GI,2,81,1,1.23,,fragments,"PE, PA, PP",,,37,Atlantic North - N Europe,ATL N,"Rummel et al., 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,n/a,,n/a,,yes,,plastic cups,,> 5,,,Atlantic North - English Channel,ATL N,"Anonymous, 1975",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,n/a,,1,,yes,,,,,,,Atlantic North - Norway,ATL N,"Jawad et al., 2016",Incidence report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Melanogrammus aeglefinus,Haddock,"N-O, D",BP,4,VU,Y,GI,3,97,6,6.19,,fragments,"PE, PP, PET",< 1,,28.1,Atlantic North - North Sea,ATL N,"Foekema et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Merlangius merlangus,Whiting,"N-O, D",BP,4.4,NE,Y,GI,3,105,6,5.71,,fragments,"PE, PP, PET",1-5,,32.1,Atlantic North - North Sea,ATL N,"Foekema et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,GI,2,50,16,32.00,1.7,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,GI,2,n/a,,yes,,fibres,rayon,<1,larva,,Atlantic North - English Channel,ATL N,"Steer et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,GI,3,28,0,0.00,,,,,,,Atlantic North - North Sea,ATL N,"Hermsen et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Micromesistius poutassou,Blue whiting,"N-O, P",BP,4.1,NE,Y,GI,2,27,14,51.85,2.1,fibres,rayon,1-5,J-A,,Atlantic North - English Channel,ATL N,"Lusher et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,GI,2,20,0,0.00,,fibres,"PA, PET, acr",< 1,,,Atlantic North - UK,ATL N,"Murphy et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,GI,2,3,0,0.00,,,,,,,Mediterranean - Eastern Ionian Sea,MED,"Anastasopoulou et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,G,1,10575,2,0.02,,,,,,18,Atlantic North - Spain,ATL N,"Lopez-Lopez et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
